source,destination,edgeContent,timestamp,edgeType
roee_r,Doron_hakatom,https://twitter.com/roee_r/status/1640252093389762562,2023-03-27T07:19:08.000Z,retweet
Dani58069159,avigrin10,https://twitter.com/Dani58069159/status/1640252086813179905,2023-03-27T07:19:06.000Z,reply
Dani58069159,YairNetanyahu,https://twitter.com/Dani58069159/status/1640252086813179905,2023-03-27T07:19:06.000Z,mention
itainathaniel,Doron_hakatom,https://twitter.com/itainathaniel/status/1640252042831618048,2023-03-27T07:18:56.000Z,retweet
natalydinoor,radio103fm,https://twitter.com/natalydinoor/status/1640252033801355264,2023-03-27T07:18:53.000Z,retweet
natalydinoor,bogie_yaalon,https://twitter.com/natalydinoor/status/1640252033801355264,2023-03-27T07:18:53.000Z,mention
gigi84511,KRaefael,https://twitter.com/gigi84511/status/1640252031368679426,2023-03-27T07:18:53.000Z,retweet
V5yyiqXr9CypYTZ,Historyinpic6,https://twitter.com/V5yyiqXr9CypYTZ/status/1640252014310334465,2023-03-27T07:18:49.000Z,reply
MyVoice_mm,ishaycoen,https://twitter.com/MyVoice_mm/status/1640252009210081282,2023-03-27T07:18:48.000Z,retweet
orenbar4,Show99Time,https://twitter.com/orenbar4/status/1640252006378946560,2023-03-27T07:18:47.000Z,reply
chamikramer,KingLirIsrael,https://twitter.com/chamikramer/status/1640251995767336960,2023-03-27T07:18:44.000Z,retweet
limor110859,yoavgallant,https://twitter.com/limor110859/status/1640251988456660994,2023-03-27T07:18:43.000Z,reply
MKasirer,yaircherki,https://twitter.com/MKasirer/status/1640251947520237568,2023-03-27T07:18:33.000Z,retweet
YShalgi,MBlumenblat,https://twitter.com/YShalgi/status/1640251894458138634,2023-03-27T07:18:20.000Z,reply
reb_ellie_n,reb_ellie_n,https://twitter.com/reb_ellie_n/status/1640251884358316032,2023-03-27T07:18:18.000Z,reply
Margalitshmuel2,yoav_gro,https://twitter.com/Margalitshmuel2/status/1640251840162942977,2023-03-27T07:18:07.000Z,reply
KleinVarda,ednahalbani,https://twitter.com/KleinVarda/status/1640251814514761729,2023-03-27T07:18:01.000Z,retweet
belzam_ayala,tzvibarkay,https://twitter.com/belzam_ayala/status/1640251808185749505,2023-03-27T07:18:00.000Z,reply
RuthB36446246,yoavgallant,https://twitter.com/RuthB36446246/status/1640251781979488256,2023-03-27T07:17:53.000Z,mention
w_uri,Itai_Leshem,https://twitter.com/w_uri/status/1640251751356874753,2023-03-27T07:17:46.000Z,reply
ShaharL3,avishaigrinzaig,https://twitter.com/ShaharL3/status/1640251717030739968,2023-03-27T07:17:38.000Z,reply
Childish_lion,hayshadad2,https://twitter.com/Childish_lion/status/1640251701801148417,2023-03-27T07:17:34.000Z,retweet
Childish_lion,Osh26,https://twitter.com/Childish_lion/status/1640251701801148417,2023-03-27T07:17:34.000Z,mention
slowphoton1,batiag,https://twitter.com/slowphoton1/status/1640251700555415552,2023-03-27T07:17:34.000Z,reply
AvitalHorev,hasolidit,https://twitter.com/AvitalHorev/status/1640251684193464321,2023-03-27T07:17:30.000Z,retweet
WakedS1,barak_ehud,https://twitter.com/WakedS1/status/1640251656653746179,2023-03-27T07:17:24.000Z,retweet
AlonaFriedman7,Nadav_Eyal,https://twitter.com/AlonaFriedman7/status/1640251641847742467,2023-03-27T07:17:20.000Z,retweet
Oren42916245,ramshefa,https://twitter.com/Oren42916245/status/1640251609929138178,2023-03-27T07:17:12.000Z,retweet
SuperCat_alw,omeraricha,https://twitter.com/SuperCat_alw/status/1640251595462963200,2023-03-27T07:17:09.000Z,reply
SuperCat_alw,amsterdamski2,https://twitter.com/SuperCat_alw/status/1640251595462963200,2023-03-27T07:17:09.000Z,mention
Or_AvishayRizi,ntiyft,https://twitter.com/Or_AvishayRizi/status/1640251527393574912,2023-03-27T07:16:53.000Z,retweet
zSNTPo0QPjsapZG,YinonMagal,https://twitter.com/zSNTPo0QPjsapZG/status/1640251510691905536,2023-03-27T07:16:49.000Z,retweet
hayshadad2,Osh26,https://twitter.com/hayshadad2/status/1640251479628959744,2023-03-27T07:16:41.000Z,reply
zSNTPo0QPjsapZG,KastelMoti,https://twitter.com/zSNTPo0QPjsapZG/status/1640251310942347264,2023-03-27T07:16:01.000Z,retweet
MKasirer,yairlapid,https://twitter.com/MKasirer/status/1640251268374355968,2023-03-27T07:15:51.000Z,retweet
elimagal,ela1949,https://twitter.com/elimagal/status/1640251244680822785,2023-03-27T07:15:45.000Z,retweet
H2OHarel,slowphoton1,https://twitter.com/H2OHarel/status/1640251244131254273,2023-03-27T07:15:45.000Z,reply
H2OHarel,hanorgil,https://twitter.com/H2OHarel/status/1640251244131254273,2023-03-27T07:15:45.000Z,mention
XokpoJ2NGpF3SHy,gidonsaar,https://twitter.com/XokpoJ2NGpF3SHy/status/1640251240209588224,2023-03-27T07:15:44.000Z,retweet
omeraricha,SuperCat_alw,https://twitter.com/omeraricha/status/1640251226989182977,2023-03-27T07:15:41.000Z,reply
omeraricha,amsterdamski2,https://twitter.com/omeraricha/status/1640251226989182977,2023-03-27T07:15:41.000Z,mention
MKasirer,YoazHendel1,https://twitter.com/MKasirer/status/1640251184681238529,2023-03-27T07:15:31.000Z,retweet
